Run,Target_%_Ox,Observed_Reduced_MS1,Observed_Reduced_MS2,Observed_Reduced_Combined,Expected_Reduced,Residual_MS1,Residual_MS2,Residual_Combined
James_0_S22,0,0.0043892516861149,0.0052910052910052,0.0048401284885601,0.0,0.0043892516861149,0.0052910052910052,0.0048401284885601
James_0_S23,0,0.0058680696074463,0.007030303030303,0.0064491863188747,0.0,0.0058680696074463,0.007030303030303,0.0064491863188747
James_0_S24,0,0.0076930967278695,0.0092649783817171,0.0084790375547933,0.0,0.0076930967278695,0.0092649783817171,0.0084790375547933
James_100_S1,100,0.9739762931034482,0.9745538843064316,0.97426508870494,0.9994723336484712,-0.02549604054502297,-0.024918449342039573,-0.025207244943531215
James_100_S2,100,0.9736192617780948,0.9741000877963124,0.9738596747872036,0.9994723336484712,-0.025853071870376443,-0.025372245852158803,-0.025612658861267623
James_100_S3,100,0.9719631326232132,0.972446162341248,0.9722046474822306,0.9994723336484712,-0.027509201025258,-0.02702617130722318,-0.027267686166240646
James_20_S19,20,0.1843590930124942,0.2026243515410436,0.1934917222767689,0.1730238243871513,0.011335268625342898,0.029600527153892303,0.020467897889617587
James_20_S20,20,0.1996106883737391,0.219626168224299,0.2096184282990191,0.1730238243871513,0.0265868639865878,0.0466023438371477,0.03659460391186781
James_20_S21,20,0.2088187847284459,0.2289251326390253,0.2188719586837356,0.1730238243871513,0.03579496034129459,0.055901308251874005,0.0458481342965843
James_40_S16,40,0.3519562334217506,0.3706678306416412,0.3613120320316959,0.3594829699455741,-0.007526736523823518,0.011184860696067112,0.0018290620861217688
James_40_S17,40,0.372457593054104,0.3915652467883705,0.3820114199212372,0.3594829699455741,0.01297462310852987,0.03208227684279641,0.022528449975663112
James_40_S18,40,0.3865902488812122,0.4061030927835051,0.3963466708323587,0.3594829699455741,0.02710727893563808,0.04662012283793099,0.03686370088678459
James_60_S13,60,0.5429091418171637,0.5563445950792626,0.5496268684482131,0.5593774366752683,-0.016468294858104637,-0.0030328415960056976,-0.009750568227055223
James_60_S14,60,0.5608716248223591,0.574597892401553,0.5677347586119561,0.5593774366752683,0.0014941881470907914,0.01522045572628472,0.008357321936687812
James_60_S15,60,0.5797706634851196,0.5938221317040054,0.5867963975945625,0.5593774366752683,0.02039322680985134,0.03444469502873715,0.02741896091929419
James_80_S10,80,0.7595604935240317,0.7663817663817664,0.762971129952899,0.7727072245762341,-0.013146731052202432,-0.006325458194467726,-0.009736094623335134
James_80_S11,80,0.7447540219165306,0.7517208919221039,0.7482374569193173,0.7727072245762341,-0.02795320265970347,-0.02098633265413019,-0.024469767656916774
James_80_S12,80,0.760693015701137,0.7675265553869499,0.7641097855440435,0.7727072245762341,-0.012014208875097077,-0.0051806691892841705,-0.008597439032190568
James_90_S7,90,0.8695000288334006,0.8722161161566495,0.870858072495025,0.8844103639659436,-0.014910335132543029,-0.012194247809294123,-0.013552291470918632
James_90_S8,90,0.8779399837793999,0.8808997907463381,0.8794198872628689,0.8844103639659436,-0.006470380186543778,-0.0035105732196055728,-0.004990476703074731
James_90_S9,90,0.8644317445354386,0.867652276759314,0.8660420106473763,0.8844103639659436,-0.01997861943050505,-0.016758087206629635,-0.018368353318567343
James_95_S4,95,0.9153092639238736,0.917311791764838,0.9163105278443556,0.941521495020605,-0.02621223109673143,-0.02420970325576699,-0.025210967176249377
James_95_S5,95,0.9129389398344888,0.9150879946194372,0.9140134672269632,0.941521495020605,-0.028582555186116188,-0.026433500401167764,-0.02750802779364181
James_95_S6,95,0.9061304836895387,0.9078154054206344,0.9069729445550868,0.941521495020605,-0.03539101133106626,-0.03370608959997057,-0.03454855046551819
